,Symbol,Trade_Date,CBI_SS,CBI_MACD,CBI,Trade_Price,Price_Delta,Avg_Volume,RSI_val,"RSI_slope, intercept",SS_val,"SS_slope, intercept",MSCD_Div_val,"MACD_Div_slope, intercept"
50,AAL,2020-11-06,0.3074351784263401,0.3100966151388126,0.3087658967825764,11.460000038146973,15.183244025534172,46732850.0,43.26312477533304,[ 1.02290344 35.97041063],23.851296431473198,[ 0.65242162 20.98168601],-0.04397168311882038,[ 0.02991971 -0.14179995]
164,FDX,2020-05-20,0.5727823179033894,0.06370446047543202,0.3182433891894107,117.01000213623047,18.972740938667844,2861416.6666666665,49.27274188983917,[ 1.69416129 38.35624705],41.45564635806779,[8.86584354 9.16761904],-0.08495855057638213,[ 0.49975464 -1.33363582]
131,ETN,2020-12-22,0.08095520397029858,0.5569932397531786,0.31897422186173857,116.61000061035156,8.438381173472973,2368000.0,52.15200148927692,[ 1.09172631 47.07653998],28.38089592059403,[ 2.77807055 16.14056511],-0.469301219854662,[ 0.13578419 -0.84256179]
171,FTV,2020-05-20,0.5463816181167982,0.09430349411699651,0.3203425561168973,49.4560661315918,14.14551504861966,2284616.6666666665,51.309209854934295,[ 2.17428441 39.73188416],40.92763236233596,[ 8.41220336 11.02091166],-0.053398011944344626,[ 0.20502916 -0.56623577]
184,GE,2020-08-07,0.2258807946872901,0.41654553606696026,0.3212131653771252,6.400000095367432,5.156248731073011,101266383.33333333,44.11360333718037,[ 1.48624317 34.62893861],25.482384106254198,[5.57080212 6.01149739],-0.03812737306857403,[ 0.0185958  -0.09153231]
91,CSX,2020-07-01,0.16410303129571951,0.4787706591426886,0.32143684521920407,68.23999786376953,4.147130597372443,4390400.0,48.040646504571455,[ 0.49088881 45.94974819],33.28206062591439,[ 4.0057172  12.67837481],-0.3697717206393326,[ 0.17247802 -0.7723358 ]
78,CAT,2020-02-06,0.3676087089334885,0.27540306731840575,0.32150588812594716,137.25,1.7996365906762295,4267216.666666667,43.98315321932472,[ 2.36013999 25.04566368],22.64782582133023,[2.66182   7.2044076],-0.4578023353229317,[ 0.39372512 -1.66229933]
11,MMM,2020-10-06,0.31950172577602254,0.3252410652170754,0.322371395496549,162.22999572753906,5.387416460173412,2062800.0,49.487637436421,[ 0.60426908 44.22088671],23.60996548447955,[ 0.87062864 14.12601564],-0.30961390424522767,[ 0.22067942 -0.95195207]
174,FTV,2020-11-04,0.2655935903039467,0.3871788106580075,0.3263862004809771,64.62000274658203,11.668215096023282,2388166.6666666665,50.550515078499636,[ 1.91802715 37.58487949],35.31187180607893,[6.52597772 8.78398964],-0.30052365245992446,[ 0.16474673 -0.77618827]
44,AAL,2020-07-30,0.47509551004205336,0.17821999813716832,0.32665775408961084,11.180000305175781,25.223610177530137,65970066.666666664,42.20038765846261,[ 0.2531256 43.1523051],20.498089799158933,[ 0.24424514 21.04480702],-0.006881017707569215,[ 0.02166612 -0.03860968]
4,MMM,2020-07-01,0.025743337518376562,0.6295120896959746,0.3276277136071756,155.42999267578125,3.2619234144818607,2553066.6666666665,50.00753059914545,[ 0.05794668 48.77493651],30.51486675036753,[ 0.39084654 21.39346644],-0.809604436939309,[ 0.18059254 -1.28608243]
150,FAST,2020-01-30,0.23517947539629916,0.4234680033322809,0.32932373936429005,36.13999938964844,6.087439955988484,4094933.3333333335,51.67003523365286,[ 0.28199595 41.29521768],34.70358950792598,[ 1.79372627 24.17960874],-0.06731319483026547,[ 0.02506726 -0.15895698]
45,AAL,2020-09-29,0.11774361333874558,0.543921999483336,0.3308328064110408,12.25,7.755100483797034,49232650.0,44.66790649403966,[ 1.32236705 39.09486193],32.35487226677491,[ 5.06760548 10.13908104],-0.10967492379930846,[ 0.03941633 -0.20163723]
142,EMR,2020-09-17,0.06413334353611262,0.6005286876246033,0.332331015580358,69.08999633789062,-1.7947574605521963,2368966.6666666665,54.78858525486845,[ 0.3593627  50.28989611],31.282666870722252,[ 3.01760953 17.77928496],-0.2700090067042745,[ 0.05176727 -0.44961883]
67,BA,2020-09-18,0.37943645837704454,0.292411527536829,0.33592399295693676,161.13999938964844,4.3068154819988616,17155716.666666668,42.508904582532644,[ 2.3852136 38.151123 ],37.58872916754089,[ 7.76219322 18.99574314],-0.24903886123262708,[ 0.39862888 -0.85167252]
38,AAL,2020-07-15,0.3239383078118648,0.3482643886587466,0.3361013482353057,13.4399995803833,-7.366069955561188,74680516.66666667,52.1646587110472,[ 0.12998541 41.06620583],23.521233843762705,[3.74348912 6.58837771],-0.1341164409260317,[ 0.04298117 -0.3850995 ]
64,BA,2020-08-06,0.5632478133880013,0.11952970718933327,0.3413887602886673,172.1999969482422,4.6051150261946985,37843550.0,49.66384217096367,[ 1.77033384 38.18589562],41.26495626776003,[8.08955068 8.48201002],-0.27679532180866584,[ 0.7030539  -2.31570317]
105,DAL,2020-02-07,0.4172995738955006,0.27297841691476327,0.34513899540513193,57.91999816894531,2.676110325895815,6826416.666666667,48.19020787994206,[ 2.86428651 37.14046743],38.34599147791001,[ 7.84041401 13.11126221],-0.10807516194330663,[ 0.13046675 -0.39591101]
84,CAT,2020-09-30,0.1190011490486512,0.5944643774874546,0.3567327632680529,149.14999389648438,10.653704351256417,2134266.6666666665,55.18318135519365,[ 0.6009407  48.91408044],32.380022980973024,[ 3.37486285 17.20469162],-0.6609453013745601,[ 0.12704963 -1.11183332]
18,ALK,2020-07-01,0.09389000295398944,0.627630094902122,0.3607600489280557,35.70000076293945,8.571421549577012,3264350.0,48.78194346993429,[ 0.34867771 47.71663292],28.12219994092021,[5.42129003 7.06107343],-0.5460030135787017,[ 0.14302723 -0.86994397]
187,HON,2020-02-07,0.3532666532425385,0.37577731280875587,0.3645219830256472,175.27999877929688,3.366039444074466,3392816.6666666665,46.1442475198954,[ 0.82752989 42.88995748],37.06533306485077,[ 3.16656748 21.72086962],-0.26423130351009905,[ 0.20378283 -0.70315928]
0,MMM,2020-02-12,0.490241466144589,0.24200797018252584,0.3661247181635574,163.8000030517578,-1.703301888242507,3110333.3333333335,42.08699894790718,[ 2.05806588 28.40093555],20.19517067710822,[ 1.75262502 16.20757917],-0.3534296699945232,[ 0.33588236 -1.46040508]
181,GE,2020-07-08,0.2813690853742674,0.45502132204971263,0.36819520371199,6.860000133514404,4.081628681073312,79573350.0,48.76373687850689,[ 0.26393063 47.21640461],35.62738170748535,[ 3.60691143 25.16184635],-0.02829282441886743,[ 0.01371484 -0.06217912]
89,CPRT,2020-07-02,0.3694140736467052,0.3860074360111266,0.3777107548289159,83.86000061035156,4.030523764390179,2206816.6666666665,48.575178974888956,[ 2.4371014  36.51867149],37.3882814729341,[ 6.85008626 13.44306457],-0.41307491118133116,[ 0.24865535 -1.07012164]
30,ALK,2020-11-03,0.3740622120547762,0.38653970342847277,0.3803009577416245,38.560001373291016,23.755185480249693,2159116.6666666665,50.78045320701644,[ 0.56173344 44.11780642],37.481244241095524,[ 0.39223945 22.87329552],-0.10706460364838835,[ 0.05043457 -0.27698216]
107,DAL,2020-02-11,0.7189927724272593,0.04450932179988504,0.3817510471135722,58.65999984741211,1.3808410763689258,5672483.333333333,52.00388922406625,[ 1.21295292 44.26018106],44.379855448545186,[ 6.05959123 30.41015315],-0.0065788602322825185,[ 0.03230832 -0.14780859]
