,Date,Open,High,Low,Close,Adj Close,Volume,Symbol,RSI,k_fast,d_fast,k_slow,d_slow,d_div,MACD line,Sig Line,MACD_Div,RSI_slope,d_slow_slope,MACD_Div_slope,MACD_Div_intercept,avg_volume,Price_Delta,Vol and RSI criteria,CBI_SS,CBI_MACD,CBI,Security,GICS Sector,Buy_Price,Buy_Date,Sell_Price,Sell_Date,Holding_Period,Profit or Loss,Buy_Slippage,Sell_Slippage,CBI_cutoff,"('Price_Delta_realized', 'RSI_Slope_sell', 'MACD_Div_slope_sell', 'MACD_Div_intercept_sell', 'd_slow_sell')",Price_Delta_realized,RSI_Slope_sell,MACD_Div_slope_sell,MACD_Div_intercept_sell,d_slow_sell,d_div_sell,RSI_sell,Type of Sale,Total_Slippage
3172,2018-04-18,105.98999786376953,107.5199966430664,105.44999694824219,106.58999633789062,96.10704040527344,2084500.0,CCI,47.961613390824226,50.102193334186246,38.93340019200409,38.93340019200409,29.743763720896236,9.189636471107857,-1.059604467089386,-0.8019585279084419,-0.25764593918094414,1.673538015819021,1.54503507252471,0.14876159987104828,-0.7262093477845829,2697957.1428571427,5.233111398526112,True,0.012811813955188179,0.3547819096062782,0.18379686178073318,Crown Castle,Real Estate,105.0999984741211,2018-04-19 00:00:00,110.55999755859375,2018-07-11 00:00:00,83.0,Profit,-1.3978777699233926,-0.036167193561673895,Below,,5.195051535435635,-0.1477948224746799,-0.06910932019998325,0.8517688735861306,90.41943330556576,-4.110570455869947,70.97392001000688,Signal,1.3617105763617188
3173,2018-05-04,101.51000213623047,104.0,101.51000213623047,103.30999755859375,93.14960479736328,1861700.0,CCI,45.773603916706946,51.44175347634711,35.17879068937945,35.17879068937945,28.00207400680476,7.1767166825746855,-1.574022113636147,-1.4821488526040643,-0.09187326103208271,0.10369541359513303,1.047665169579984,0.08307935932391568,-0.3908145714268566,3692728.5714285714,0.08717935794993051,True,0.09989629965976192,0.23508146253773285,0.16748888109874738,Crown Castle,Real Estate,103.23999786376953,2018-05-07 00:00:00,103.16999816894531,2018-06-12 00:00:00,36.0,Loss,-0.06775694170790916,-0.1548472459828097,Below,,-0.06780288286773013,-0.8568164461424335,-0.030037878148211464,0.17558611124463366,45.21769679951918,2.2050538875528574,50.010426913232294,Signal,-0.08709030427490053
3174,2018-05-07,103.23999786376953,103.94000244140625,101.9000015258789,102.55999755859375,92.473388671875,1675600.0,CCI,43.533865723845196,42.79123261826444,41.86851860651617,41.86851860651617,34.2688852242757,7.599633382240469,-1.4886318956353932,-1.48344546121033,-0.005186434425063169,1.5317611513983551,4.228116442373164,0.1224540706964814,-0.36516035496562,3454628.5714285714,0.8519340910580017,True,0.21344426121378496,0.014203169524116259,0.11382371536895061,Crown Castle,Real Estate,102.12000274658203,2018-05-08 00:00:00,103.12999725341797,2018-05-17 00:00:00,9.0,Profit,-0.4290121124080024,0.13593493790884656,Below,,0.9890271050445523,-0.19468174120600276,-0.028275304072732262,0.3636670288590082,63.92901690353968,-3.1062341702851057,45.47964551531136,Signal,0.564947050316849
3175,2018-07-31,109.58000183105469,111.4000015258789,109.55000305175781,110.83000183105469,100.97909545898438,2921900.0,CCI,61.62886277876524,73.20759714516858,54.40254197844002,54.40254197844002,47.58912871085061,6.813413267589411,0.9178794118617191,1.1797759887356412,-0.2618965768739221,1.3825934016901202,5.146415341171732,0.047985173108256854,-0.4364891816178515,2463157.1428571427,1.36165572815421,True,0.8794564355425305,0.6000070285893452,0.7397317320659378,Crown Castle,Real Estate,110.16000366210938,2018-08-01 00:00:00,111.70999908447266,2018-08-23 00:00:00,22.0,Profit,-0.6045277974159324,0.04477469167435345,Above,,1.4070400969825108,-0.28644666250657314,-0.03695180090933458,0.172002931817795,83.36357140627786,-14.670676568786504,53.12567348037899,Signal,0.6493024890902859
3176,2018-10-01,111.33000183105469,111.95999908447266,110.37000274658203,110.41000366210938,101.54655456542969,2121400.0,CCI,47.4113073542715,43.933193301453734,39.428463120104034,39.428463120104034,23.77646317567869,15.651999944425345,-0.5595191365283654,-0.2840522676125806,-0.27546686891578476,0.1481077102209195,4.496833106720851,0.08771141655688713,-0.5447884723515253,2142514.285714286,0.2082420672599704,True,0.31117684121606554,0.5056400472769906,0.4084084442465281,Crown Castle,Real Estate,110.44999694824219,2018-10-02 00:00:00,111.26000213623047,2018-11-14 00:00:00,43.0,Profit,0.036222520429584446,0.5240349019293999,Below,,0.7333682303023119,-0.9830637509049521,-0.11348323328178445,0.714481232933181,82.25381148298409,-4.342556261024981,55.67215845036541,Signal,0.4878123814998155
3177,2018-10-18,106.0,108.6500015258789,105.0199966430664,106.62000274658203,98.0608139038086,3933100.0,CCI,41.01152859561297,31.96010618285587,33.832752159676865,33.832752159676865,28.200897387581282,5.631854772095583,-1.3612379415289837,-1.1526738699817667,-0.208564071547217,0.5756839605819604,2.588934645909851,0.08635950933034671,-0.4585467573250238,2717814.285714286,2.868665267193317,True,0.0899551306209359,0.4548370874191661,0.272396109020051,Crown Castle,Real Estate,106.66999816894531,2018-10-19 00:00:00,110.05000305175781,2018-11-13 00:00:00,25.0,Profit,0.046891222167862845,0.291624610438872,Below,,3.1686556115424365,-0.3194115296401701,-0.09509742045837549,0.7751908607927142,86.73592237894343,-5.949844530766782,52.405383569563924,Signal,0.24473338827100916
3178,2018-10-19,106.66999816894531,107.88999938964844,106.05999755859375,106.93000030517578,98.3459243774414,2567800.0,CCI,42.47864671444855,35.83023696835945,33.95759099153845,33.95759099153845,32.33462267844063,1.6229683130978216,-1.3085359489268455,-1.1838462857707825,-0.124689663156063,1.6539734188171833,5.402147019599499,0.07839886151997184,-0.3608983296348978,2629400.0,2.302816680504991,True,0.11673113392203156,0.3454980334273231,0.23111458367467733,Crown Castle,Real Estate,107.26000213623047,2018-10-22 00:00:00,110.05000305175781,2018-11-13 00:00:00,22.0,Profit,0.30861482288681363,0.291624610438872,Below,,2.601156871117507,-0.3194115296401701,-0.09509742045837549,0.7751908607927142,86.73592237894343,-5.949844530766782,52.405383569563924,Signal,-0.016990212447941633
3179,2018-10-23,105.54000091552734,106.33999633789062,104.52999877929688,106.16000366210938,97.63773345947266,3149500.0,CCI,40.551365091266376,26.217297671082697,27.840234234731923,27.840234234731923,30.5174429883089,-2.677208753576977,-1.326281266242475,-1.2379692580388357,-0.08831200820363927,0.3012259075718447,0.7129963087032771,0.03572659723182232,-0.19102630179160648,2665657.1428571427,3.1103225380003643,True,0.025872149415445023,0.4623028733497662,0.24408751138260562,Crown Castle,Real Estate,106.41999816894531,2018-10-24 00:00:00,110.05000305175781,2018-11-13 00:00:00,20.0,Profit,0.24490815548900996,0.291624610438872,Below,,3.4110176144240723,-0.3194115296401701,-0.09509742045837549,0.7751908607927142,86.73592237894343,-5.949844530766782,52.405383569563924,Signal,0.04671645494986204
3180,2018-02-27,101.58999633789062,102.3499984741211,99.2699966430664,100.30000305175781,89.52777862548828,2287900.0,DLR,40.16307451538117,33.74744798227705,41.40543267240792,41.40543267240792,36.44502926704943,4.960403405358491,-2.2045204454296226,-2.1080456731091743,-0.09647477232044821,1.033091652357862,5.853158829216793,0.10355176294858001,-0.3618412002476579,2040571.4285714286,2.43781487979111,True,0.3222514633524714,0.26662185581525044,0.2944366595838609,Digital Realty Trust Inc,Real Estate,100.91000366210938,2018-02-28 00:00:00,102.9800033569336,2018-03-22 00:00:00,22.0,Profit,0.6081760636006999,-0.37728487886814244,Below,,2.051332494006718,-0.9758918135618774,-0.14007741849775054,0.8840770690889821,85.35813877995447,-7.713017112025085,50.17380676762314,Signal,-0.9854609424688423
3181,2018-02-13,25.139999389648438,25.729999542236328,25.09000015258789,25.6200008392334,23.301111221313477,3962400.0,DRE,46.69635089302301,39.04113928804948,32.53427185334841,32.53427185334841,22.64298397473355,9.891287878614857,-0.26409427906919447,-0.21829290118549188,-0.04580137788370259,0.8507672558819045,0.3293854917681765,0.01751189419236401,-0.10458654369250184,4315242.857142857,2.3043302421453724,True,0.3678508012633225,0.43792801890809824,0.40288941008571033,Duke Realty Corp,Real Estate,25.170000076293945,2018-02-14 00:00:00,25.719999313354492,2018-03-23 00:00:00,37.0,Profit,-1.7564432014004494,-0.1165075209534284,Below,,2.1851380031522405,-0.1787652367104021,-0.01821631360651329,0.14988433047474348,89.0388791566573,-6.552812745204534,52.843139999664835,Signal,1.639935680447021
3182,2018-02-14,25.170000076293945,25.579999923706055,24.989999771118164,25.530000686645508,23.401941299438477,4749700.0,DRE,48.05786861034583,35.95894236214671,34.3607540820199,34.3607540820199,28.805194897566746,5.5555591844531556,-0.2517146713816736,-0.22497725522472822,-0.02673741615694536,1.758176903914436,4.616223922227697,0.02169577830410313,-0.09232179741717592,4332485.714285715,0.7039511432306205,True,0.05974025512166268,0.2896110875758472,0.17467567134875495,Duke Realty Corp,Real Estate,25.56999969482422,2018-02-15 00:00:00,25.719999313354492,2018-03-23 00:00:00,36.0,Profit,0.15667452840937066,-0.1165075209534284,Below,,0.5866234662514908,-0.1787652367104021,-0.01821631360651329,0.14988433047474348,89.0388791566573,-6.552812745204534,52.843139999664835,Signal,-0.27318204936279905
